"J0621+0336","TPA","2022-06-23-13:06:12","2019-09-29-02:28:00","999","19","0.6","11.2","2"
"J0820-4114","TPA","2022-06-23-13:06:06","2019-10-19-05:17:20","979","33","1.2","117.1","2"
"J0533+0402","TPA","2022-06-23-13:03:53","2019-09-29-02:24:10","999","19","1.2","46.3","2"
"J0820-3826","TPA","2022-06-23-13:03:53","2020-01-02-19:10:39","903","19","0.8","44.3","2"
"J0525+1115","TPA","2022-06-23-13:01:38","2019-10-19-00:31:08","979","18","0.6","88.5","2"
"J0818-3232","TPA","2022-06-23-13:01:21","2019-09-29-02:43:34","999","21","2.9","65.3","2"
"J0459-0210","TPA","2022-06-23-12:59:19","2019-11-12-22:15:58","954","19","1.3","45.3","2"
"J0630-2834","TPA","2022-06-23-12:58:43","2019-04-16-19:17:17","1164","22","1.8","3308","2"
"J0450-1248","TPA","2022-06-23-12:57:03","2019-09-29-02:20:08","999","20","0.8","91.2","2"
"J0343-3000","TPA","2022-06-23-12:55:58","2019-11-12-21:30:17","954","19","2.7","96.6","2"
"J0421-0345","TPA","2022-06-23-12:54:43","2019-10-27-21:58:43","970","19","1.8","41.6","1.9"
"J0536-7543","TPA","2022-06-23-12:53:14","2019-10-18-23:49:39","979","19","1.4","1022.2","2"
"J0719-2545","TPA","2022-06-23-12:51:45","2019-09-29-02:39:40","999","20","1.2","47.5","2"
"J0211-8159","TPA","2022-06-23-12:50:52","2019-10-27-21:47:29","970","18","2.1","75.5","2"
"J0656-2228","TPA","2022-06-23-12:49:29","2019-10-19-00:45:16","979","20","1.4","106.8","2"
"J0045-7319","TPA, unknown","2022-06-23-12:48:34","2019-02-12-08:52:44","1228","19","1.6","17.7","2"
"J0520-2553","TPA","2022-06-23-12:47:00","2019-09-29-02:16:01","999","20","0.6","30.7","2"
"J1906+0746","RelBin, TPA","2022-06-22-21:23:42","2020-02-02-10:36:44","872","61","17.9","10.8","15"
"J1930-1852","RelBin","2022-06-22-20:03:52","2019-03-15-07:49:51","1196","28","21.8","475.1","34.1"
"J0125-2327","PTA","2022-06-19-03:10:17","2019-04-23-06:11:30","1153","76","7","981.8","4.2"
"J0101-6422","RelBin, PTA","2022-06-19-02:47:57","2019-03-08-09:00:44","1199","49","27.7","103.4","21.6"
"J0030+0451","PTA","2022-06-19-02:42:39","2019-10-30-23:04:40","963","68","5.5","25.6","4.3"
"J2322-2650","PTA","2022-06-19-02:37:08","2019-04-23-06:06:38","1153","73","12.4","23.7","4.8"
"J2322+2057","PTA","2022-06-19-02:19:01","2019-10-30-22:46:30","963","56","16.1","100","17.3"
"J2317+1439","PTA, RelBin","2022-06-19-02:14:28","2019-10-30-22:55:26","963","68","5.6","75.2","4.3"
"J2241-5236","PTA, unknown, RelBin","2022-06-19-02:09:01","2019-03-08-08:44:24","1199","84","12.4","559","4.3"
"J2236-5527","PTA","2022-06-19-01:26:39","2019-04-22-09:17:21","1154","49","29.4","39.6","42.1"
"J2234+0944","PTA","2022-06-19-01:21:17","2019-10-30-22:28:55","963","68","5.1","234","4.3"
"J2229+2643","PTA","2022-06-19-01:08:52","2019-10-30-21:16:20","963","67","11.2","115","12"
"J2222-0137","RelBin, PTA","2022-06-19-01:04:00","2019-04-22-10:13:16","1154","77","10.9","759.7","4.3"
"J2150-0326","PTA","2022-06-19-00:59:26","2019-07-20-01:12:42","1065","69","6.5","33","4.3"
"J2145-0750","RelBin, PTA","2022-06-19-00:54:55","2019-04-22-10:03:56","1154","76","6.2","1010","4.3"
"J2129-5721","RelBin, PTA","2022-06-19-00:49:34","2019-04-03-04:29:43","1173","84","11.3","106","4.3"
"J2124-3358","unknown, PTA","2022-06-19-00:44:41","2019-04-22-08:22:01","1154","76","6.6","325.7","4.3"
