J0024-7204P ~ clf+00 ~ * ~ * ~ 0.0036430207 ~ 3.0e-10 ~ rft+16 ~ 24.29 ~ 3.0e-02 ~ rft+16 ~ pksgc ~ * ~ 2000 ~ 0.147248891 ~ 7.0e-09 ~ rft+16 ~ * ~ 0 ~ * ~ 0.017193 ~ 6.6E-19 ~ 4.0e-20 ~ rft+16 ~ 1.57e+09 ~ 8.7e+07 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.872 ~ -44.904 ~ 00:24:20 ~ 2.9e+01 ~ rft+16 ~ -72:04:10 ~ 6.2e+01 ~ rft+16 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ GC:47Tuc 
J0024-7204Q ~ clf+00 ~ * ~ * ~ 0.00403318118457258 ~ 1.5e-16 ~ frk+17 ~ 24.265 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ * ~ 2000 ~ 1.1890840496 ~ 4.0e-10 ~ frk+17 ~ 8.03E-5 ~ 0.0e+00 ~ frk+17 ~ 0.176888 ~ 3.4008E-20 ~ 4.0e-24 ~ frk+17 ~ 3.75e+08 ~ 1.88e+09 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.877 ~ -44.899 ~ 00:24:16.4909 ~ 1.0e-04 ~ frk+17 ~ -72:04:25.1644 ~ 6.0e-04 ~ frk+17 ~ 5.2 ~ 1.0e-01 ~ frk+17 ~ -2.6 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06],OPT:[rvh+15] 
J0024-7204R ~ clf+00 ~ * ~ * ~ 0.003480462696488 ~ 4.0e-15 ~ pf0205 ~ 24.33 ~ 9.0e-02 ~ pf0205 ~ pksgc ~ * ~ 2000 ~ 0.0662314786 ~ 5.0e-10 ~ pf0205 ~ * ~ 0 ~ * ~ 0.025830 ~ 1.4859E-19 ~ 1.3e-22 ~ pf0205 ~ 7.28e+08 ~ 3.71e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.892 ~ -44.890 ~ 00:24:07.5812 ~ 1.0e-03 ~ pf0205 ~ -72:04:50.380 ~ 5.0e-03 ~ pf0205 ~ 4.8 ~ 1.0e-01 ~ frk+17 ~ -3.3 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204S ~ clf+00 ~ * ~ * ~ 0.00283040595787912 ~ 8.0e-17 ~ frk+17 ~ 24.376 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ * ~ 2000 ~ 1.2017242354 ~ 6.0e-10 ~ frk+17 ~ 0.000398 ~ 0.0e+00 ~ frk+17 ~ 0.088458 ~ -1.205413E-19 ~ 9.0e-25 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.898 ~ -44.892 ~ 00:24:03.9794 ~ 1.0e-04 ~ frk+17 ~ -72:04:42.3530 ~ 4.0e-04 ~ frk+17 ~ 4.5 ~ 1.0e-01 ~ frk+17 ~ -2.5 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bhc+17],OPT:[rvh+15] 
J0024-7204T ~ clf+00 ~ * ~ * ~ 0.0075884798073671 ~ 1.2e-15 ~ frk+17 ~ 24.41 ~ 2.0e-02 ~ frk+17 ~ pksgc ~ * ~ 2000 ~ 1.126176771 ~ 1.0e-09 ~ frk+17 ~ 0.000400 ~ 0.0e+00 ~ frk+17 ~ 0.167187 ~ 2.93805E-19 ~ 1.2e-23 ~ frk+17 ~ 1.51e+09 ~ 4.09e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.890 ~ -44.894 ~ 00:24:08.5491 ~ 5.0e-04 ~ frk+17 ~ -72:04:38.932 ~ 3.0e-03 ~ frk+17 ~ 5.1 ~ 6.0e-01 ~ frk+17 ~ -2.6 ~ 7.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15] 
J0024-7204U ~ clf+00 ~ * ~ * ~ 0.00434282669639233 ~ 1.2e-16 ~ frk+17 ~ 24.337 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ * ~ 2000 ~ 0.42910568324 ~ 8.0e-11 ~ frk+17 ~ 0.000146 ~ 0.0e+00 ~ frk+17 ~ 0.122775 ~ 9.52279E-20 ~ 1.7e-24 ~ frk+17 ~ 6.51e+08 ~ 7.23e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.890 ~ -44.905 ~ 00:24:09.8366 ~ 1.0e-04 ~ frk+17 ~ -72:03:59.6882 ~ 4.0e-04 ~ frk+17 ~ 4.6 ~ 2.0e-01 ~ frk+17 ~ -3.8 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15] 
J0024-7204V ~ clf+00 ~ * ~ * ~ 0.00481016762 ~ 7.0e-11 ~ rft+16 ~ 24.105 ~ 0 ~ rft+16 ~ pksgc ~ * ~ 2000 ~ 0.2121312098 ~ 1.6e-09 ~ rft+16 ~ * ~ 0 ~ * ~ 0.297998 ~ * ~ 0 ~ * ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.895 ~ -44.889 ~ 00:24:05.67 ~ 0 ~ mam+06 ~ -72:04:52.62 ~ 0 ~ mam+06 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ GC:47Tuc 
J0024-7204W ~ clf+00 ~ * ~ * ~ 0.00235234451994 ~ 4.0e-14 ~ pf0306 ~ 24.33 ~ 4.0e-02 ~ pf0306 ~ pksgc ~ * ~ 2000 ~ 0.132944430 ~ 7.0e-09 ~ pf0306 ~ * ~ 0 ~ * ~ 0.123951 ~ -3.8E-20 ~ 7.0e-21 ~ pf0306 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.894 ~ -44.890 ~ 00:24:06.036 ~ 5.0e-03 ~ pf0306 ~ -72:04:48.86 ~ 5.0e-02 ~ pf0306 ~ 5.3000 ~ 5.0e-01 ~ rft+16 ~ -3.3000 ~ 3.0e-01 ~ rft+16 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] 
J0024-7204X ~ fre08 ~ * ~ * ~ 0.00477152291069356 ~ 5.0e-17 ~ rft+16 ~ 24.539 ~ 5.0e-03 ~ rft+16 ~ pksgc ~ * ~ 2008 ~ 10.921183545 ~ 1.0e-09 ~ rft+16 ~ 4.5E-7 ~ 0.0e+00 ~ rft+16 ~ 0.353615 ~ 1.83610E-20 ~ 7.0e-25 ~ rft+16 ~ 3e+08 ~ 4.12e+09 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.877 ~ -44.952 ~ 00:24:22.38565 ~ 9.0e-05 ~ rft+16 ~ -72:01:17.4414 ~ 7.0e-04 ~ rft+16 ~ 5.8 ~ 1.0e-01 ~ rft+16 ~ -3.3 ~ 2.0e-01 ~ rft+16 ~ * ~ 0 ~ * ~ GC:47Tuc 
J0024-7204Y ~ frk+17 ~ * ~ * ~ 0.002196657143519 ~ 8.0e-15 ~ pf0505 ~ 24.44 ~ 6.0e-02 ~ pf0505 ~ misc ~ * ~ 2017 ~ 0.521938609 ~ 3.0e-09 ~ pf0505 ~ 0.00012 ~ 0.0e+00 ~ pf0505 ~ 0.137636 ~ -3.532E-20 ~ 2.0e-22 ~ pf0505 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.903 ~ -44.891 ~ 00:24:01.405 ~ 4.0e-03 ~ pf0505 ~ -72:04:41.820 ~ 1.9e-02 ~ pf0505 ~ 4.4 ~ 1.0e-01 ~ frk+17 ~ -3.4 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc 
