J0024-7204M ~ mlr+91 ~ B0021-72M ~ mlr+91 ~ 0.0036766432176002 ~ 3.0e-16 ~ frk+17 ~ 24.43 ~ 2.0e-02 ~ frk+17 ~ pksgc ~ 1991 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -3.8419E-20 ~ 6.0e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.913 ~ -44.877 ~ 00:23:54.4899 ~ 3.0e-04 ~ frk+17 ~ -72:05:30.756 ~ 2.0e-03 ~ frk+17 ~ 5.0 ~ 3.0e-01 ~ frk+17 ~ -2.0 ~ 4.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.551 ~ -3.309 ~ 119.74 ~ 4.690 
J0024-7204N ~ rlm+95 ~ B0021-72N ~ rlm+95 ~ 0.00305395434626085 ~ 1.0e-16 ~ frk+17 ~ 24.574 ~ 9.0e-03 ~ frk+17 ~ pksgc ~ 1995 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ -2.18570E-20 ~ 1.9e-24 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.890 ~ -44.897 ~ 00:24:09.1880 ~ 2.0e-04 ~ frk+17 ~ -72:04:28.8907 ~ 7.0e-04 ~ frk+17 ~ 6.3 ~ 2.0e-01 ~ frk+17 ~ -2.8 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.552 ~ -3.310 ~ 153.29 ~ 4.690 
J0024-7204O ~ clf+00 ~ * ~ * ~ 0.00264334329724357 ~ 5.0e-17 ~ frk+17 ~ 24.356 ~ 2.0e-03 ~ frk+17 ~ pksgc ~ 2000 ~ 0.13597430589 ~ 1.0e-10 ~ frk+17 ~ * ~ 0 ~ * ~ 0.021585 ~ 3.03493E-20 ~ 6.0e-25 ~ frk+17 ~ 2.87e+08 ~ 1.38e+09 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.897 ~ -44.889 ~ 00:24:04.65254 ~ 6.0e-05 ~ frk+17 ~ -72:04:53.7670 ~ 2.0e-04 ~ frk+17 ~ 5.01 ~ 5.0e-02 ~ frk+17 ~ -2.58 ~ 8.0e-02 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.552 ~ -3.310 ~ 125.30 ~ 4.690 
J0024-7204P ~ clf+00 ~ * ~ * ~ 0.0036430207 ~ 3.0e-10 ~ rft+16 ~ 24.29 ~ 3.0e-02 ~ rft+16 ~ pksgc ~ 2000 ~ 0.147248891 ~ 7.0e-09 ~ rft+16 ~ * ~ 0 ~ * ~ 0.017193 ~ 6.6E-19 ~ 4.0e-20 ~ rft+16 ~ 1.57e+09 ~ 8.7e+07 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.872 ~ -44.904 ~ 00:24:20 ~ 2.9e+01 ~ rft+16 ~ -72:04:10 ~ 6.2e+01 ~ rft+16 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ GC:47Tuc ~ -2.692 ~ 6.553 ~ -3.311 ~ * ~ 4.690 
J0024-7204Q ~ clf+00 ~ * ~ * ~ 0.00403318118457258 ~ 1.5e-16 ~ frk+17 ~ 24.265 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ 2000 ~ 1.1890840496 ~ 4.0e-10 ~ frk+17 ~ 8.03E-5 ~ 0.0e+00 ~ frk+17 ~ 0.176888 ~ 3.4008E-20 ~ 4.0e-24 ~ frk+17 ~ 3.75e+08 ~ 1.88e+09 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.877 ~ -44.899 ~ 00:24:16.4909 ~ 1.0e-04 ~ frk+17 ~ -72:04:25.1644 ~ 6.0e-04 ~ frk+17 ~ 5.2 ~ 1.0e-01 ~ frk+17 ~ -2.6 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06],OPT:[rvh+15] ~ -2.692 ~ 6.553 ~ -3.310 ~ 129.27 ~ 4.690 
J0024-7204R ~ clf+00 ~ * ~ * ~ 0.00348046270749329 ~ 1.3e-16 ~ frk+17 ~ 24.361 ~ 7.0e-03 ~ frk+17 ~ pksgc ~ 2000 ~ 6.623147751E-2 ~ 6.0e-11 ~ frk+17 ~ 0.000104 ~ 0.0e+00 ~ frk+17 ~ 0.025816 ~ 1.48352E-19 ~ 3.0e-24 ~ frk+17 ~ 7.27e+08 ~ 3.72e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.892 ~ -44.890 ~ 00:24:07.5851 ~ 2.0e-04 ~ frk+17 ~ -72:04:50.3954 ~ 5.0e-04 ~ frk+17 ~ 4.8 ~ 1.0e-01 ~ frk+17 ~ -3.3 ~ 2.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06] ~ -2.692 ~ 6.552 ~ -3.310 ~ 129.52 ~ 4.690 
J0024-7204S ~ clf+00 ~ * ~ * ~ 0.00283040595787912 ~ 8.0e-17 ~ frk+17 ~ 24.376 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ 2000 ~ 1.2017242354 ~ 6.0e-10 ~ frk+17 ~ 0.000398 ~ 0.0e+00 ~ frk+17 ~ 0.088458 ~ -1.205413E-19 ~ 9.0e-25 ~ frk+17 ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.898 ~ -44.892 ~ 00:24:03.9794 ~ 1.0e-04 ~ frk+17 ~ -72:04:42.3530 ~ 4.0e-04 ~ frk+17 ~ 4.5 ~ 1.0e-01 ~ frk+17 ~ -2.5 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bhc+17],OPT:[rvh+15] ~ -2.691 ~ 6.552 ~ -3.310 ~ 114.46 ~ 4.690 
J0024-7204T ~ clf+00 ~ * ~ * ~ 0.0075884798073671 ~ 1.2e-15 ~ frk+17 ~ 24.41 ~ 2.0e-02 ~ frk+17 ~ pksgc ~ 2000 ~ 1.126176771 ~ 1.0e-09 ~ frk+17 ~ 0.000400 ~ 0.0e+00 ~ frk+17 ~ 0.167187 ~ 2.93805E-19 ~ 1.2e-23 ~ frk+17 ~ 1.51e+09 ~ 4.09e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.890 ~ -44.894 ~ 00:24:08.5491 ~ 5.0e-04 ~ frk+17 ~ -72:04:38.932 ~ 3.0e-03 ~ frk+17 ~ 5.1 ~ 6.0e-01 ~ frk+17 ~ -2.6 ~ 7.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15] ~ -2.692 ~ 6.552 ~ -3.310 ~ 127.29 ~ 4.690 
J0024-7204U ~ clf+00 ~ * ~ * ~ 0.00434282669639233 ~ 1.2e-16 ~ frk+17 ~ 24.337 ~ 4.0e-03 ~ frk+17 ~ pksgc ~ 2000 ~ 0.42910568324 ~ 8.0e-11 ~ frk+17 ~ 0.000146 ~ 0.0e+00 ~ frk+17 ~ 0.122775 ~ 9.52279E-20 ~ 1.7e-24 ~ frk+17 ~ 6.51e+08 ~ 7.23e+08 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.890 ~ -44.905 ~ 00:24:09.8366 ~ 1.0e-04 ~ frk+17 ~ -72:03:59.6882 ~ 4.0e-04 ~ frk+17 ~ 4.6 ~ 2.0e-01 ~ frk+17 ~ -3.8 ~ 1.0e-01 ~ frk+17 ~ * ~ 0 ~ * ~ GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15] ~ -2.691 ~ 6.553 ~ -3.311 ~ 132.67 ~ 4.690 
J0024-7204V ~ clf+00 ~ * ~ * ~ 0.00481016762 ~ 7.0e-11 ~ rft+16 ~ 24.105 ~ 0 ~ rft+16 ~ pksgc ~ 2000 ~ 0.2121312098 ~ 1.6e-09 ~ rft+16 ~ * ~ 0 ~ * ~ 0.297998 ~ * ~ 0 ~ * ~ * ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ 305.895 ~ -44.889 ~ 00:24:05.67 ~ 0 ~ mam+06 ~ -72:04:52.62 ~ 0 ~ mam+06 ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ * ~ 0 ~ * ~ GC:47Tuc ~ -2.692 ~ 6.552 ~ -3.310 ~ * ~ 4.690 
